当前磁盘使用量,写入轮次
16.733583,88
16.809070,86
16.883697,85
16.957003,84
17.032926,88
17.105796,83
17.181283,87
17.253279,82
17.328766,87
17.405999,88
17.482372,88
17.557423,86
17.625492,77
17.707088,94
17.780393,84
17.855444,86
17.934858,91
18.006868,83
18.088464,93
18.168751,92
18.246420,89
18.314489,78
18.398267,96
18.479003,93
18.564526,98
18.643068,90
18.725973,95
18.806260,92
18.894401,101
18.975997,93
19.054551,90
19.139638,98
19.219489,91
19.301085,94
19.378754,89
19.462531,96
19.544563,94
19.627918,95
19.709950,94
19.789801,92
19.871833,93
19.955611,97
20.039825,96
20.125361,98
20.208702,96
20.289862,92
20.371894,95
20.456545,97
20.530723,85
20.612318,93
20.702218,103
20.783378,93
20.867155,96
20.951369,97
21.034711,95
21.116307,94
21.201407,97
21.282130,93
21.365035,95
21.445322,92
21.526918,93
21.607641,93
21.687491,91
21.761683,85
21.841970,92
21.917021,86
22.000362,96
22.077158,88
22.157008,91
22.235114,90
22.307560,83
22.392646,97
22.471624,90
22.549730,90
22.623471,85
22.700268,88
22.784045,95
22.865654,94
22.946378,93
23.026664,92
23.107388,92
23.187238,92
23.270580,95
23.346953,88
23.425494,89
23.513635,102
23.596977,95
23.680318,96
23.755805,86
23.840019,97
23.920319,92
23.998861,90
24.072603,84
24.160307,101
24.241467,93
24.321754,92
24.401604,91
24.477105,87
24.557392,92
24.642042,96
24.722329,93
24.801307,90
24.878976,89
24.961457,95
25.039126,89
25.118977,91
25.199264,92
25.279114,91
25.358529,92
25.439688,93
25.516934,88
25.600712,96
25.684926,97
25.764340,91
25.843754,91
25.924477,92
26.003455,91
26.085937,94
26.165351,91
26.241275,87
26.328979,101
26.400976,82
26.491312,104
26.580788,102
26.672420,105
26.757956,98
26.849601,105
26.941246,105
27.030709,102
27.121045,104
27.211817,104
27.296481,97
27.394234,112
27.480643,99
27.575330,109
27.664369,102
27.754269,103
27.835005,92
27.930141,109
28.020027,103
28.104255,97
28.198531,108
28.291048,105
28.380075,103
28.471707,105
28.559861,101
28.648452,101
28.738801,104
28.826519,100
28.918587,106
29.001069,94
29.096204,109
29.183486,100
29.274271,104
29.356740,95
29.450567,107
29.539593,102
29.620330,93
29.708484,101
29.791389,95
29.875193,96
29.970765,109
30.058483,101
30.144442,98
30.227360,95
30.321623,108
30.409354,101
30.498381,102
30.583031,97
30.665077,93
30.758467,108
30.840949,94
30.933030,106
31.020312,100
31.104102,96
31.193566,102
31.279102,98
31.369424,104
31.455410,98
31.535710,92
31.628228,106
31.715496,100
31.805832,104
31.890495,97
31.975608,97
32.064635,102
32.149722,98
32.238312,101
32.324721,99
32.408948,96
32.498848,104
32.586566,100
32.674720,101
32.762438,101
32.847538,97
32.936115,102
33.015979,91
33.109382,107
33.193173,96
33.280018,100
33.368596,101
33.454568,98
33.541850,101
33.626526,97
33.705068,90
33.797149,105
33.880940,96
33.969094,101
34.054181,98
34.139730,98
34.223084,95
34.309057,99
34.396325,99
34.476625,93
34.556489,91
34.645952,103
34.734992,102
34.826188,104
34.918269,106
35.007732,102
35.094577,100
35.184477,103
35.271758,100
35.356422,97
35.441958,98
35.524440,94
35.609526,98
35.692881,95
35.772321,91
35.857858,98
35.938581,93
36.020626,94
36.097436,88
36.184717,100
36.266313,93
36.351426,98
36.433471,94
36.517685,96
36.592313,86
36.682212,102
36.765131,95
36.844994,92
36.931403,99
37.014321,95
37.098112,96
37.179272,93
37.262190,95
37.346417,97
37.428039,93
37.507889,91
37.595171,101
37.676780,93
37.756644,92
37.843040,99
37.927280,96
38.011071,96
38.093116,94
38.171658,90
38.255885,97
38.336185,92
38.421284,97
38.500276,91
38.584939,97
38.666984,94
38.748580,93
38.830626,94
38.905253,86
38.993421,101
39.074144,92
39.153571,91
39.236926,96
39.318535,93
39.401876,96
39.479994,89
39.557689,89
39.645394,101
39.725694,92
39.809921,96
39.890658,92
39.967454,89
40.055608,101
40.129813,85
40.218403,101
40.299126,93
40.379426,92
40.467144,100
40.550935,96
40.632544,94
40.707608,86
40.796198,101
40.878244,94
40.960713,95
41.044503,96
41.123058,90
41.210776,100
41.284094,84
41.371812,101
41.453421,93
41.533708,92
41.615317,94
41.693885,90
41.773312,91
41.854036,92
41.931718,89
42.008091,88
42.091868,96
42.174786,95
42.254663,91
42.335836,93
42.418305,95
42.499041,92
42.577596,90
42.656137,90
42.729469,84
42.816750,100
42.896178,91
42.977337,93
43.057638,92
43.139683,94
43.218224,90
43.299410,93
43.376656,89
43.453029,87
43.539861,100
43.620597,92
43.693043,83
43.779003,99
43.858007,90
43.938307,92
44.016861,90
44.097585,93
44.177885,92
44.258621,92
44.337599,90
44.415294,90
44.487740,83
44.568476,92
44.647018,90
44.727318,92
44.798891,82
44.885287,99
44.961236,87
45.041100,92
45.114406,83
45.192088,90
45.275442,95
45.353997,90
45.426430,83
45.509361,95
45.588788,91
45.667766,91
45.747630,91
45.827930,92
45.906048,90
45.981535,86
46.061848,92
46.146512,97
46.221126,86
46.302299,93
46.383472,92
46.462899,92
46.543636,92
46.621754,90
46.700308,90
46.779286,90
46.859586,92
46.938577,91
47.015374,88
47.087833,83
47.168133,92
47.248869,92
47.326102,89
47.401165,86
47.486265,97
47.564807,90
47.640756,87
47.719747,90
47.797416,89
47.876844,92
47.955835,90
48.028717,84
48.102023,84
48.188008,98
48.264381,87
48.343359,91
48.421041,89
48.500468,91
48.579010,90
48.657565,90
48.736569,91
48.812069,86
48.893665,94
48.969165,86
49.045102,87
49.128007,95
49.207434,91
49.287747,92
49.365852,90
49.439607,84
49.517289,89
49.598462,93
49.674386,87
49.752953,90
49.833253,92
49.902195,79
49.981623,91
50.060177,90
50.142210,94
50.218146,87
50.289733,82
50.374832,98
50.451629,88
50.527565,87
50.604375,88
50.681607,88
50.759289,89
50.834802,87
50.911162,87
50.987535,88
51.066963,91
51.138959,82
51.223622,97
51.295196,82
51.380745,98
51.457105,87
51.533478,88
51.609414,87
51.688829,91
51.765201,87
51.840265,87
51.913147,83
51.982976,80
52.061530,90
52.134399,83
52.210336,87
52.285400,87
52.358705,84
52.433333,85
52.507101,85
52.580843,84
52.651980,82
52.723989,82
52.807330,96
52.880649,84
52.954404,84
53.030777,88
53.107150,87
53.181341,85
53.255519,85
53.324474,79
53.402593,90
53.477643,86
53.552721,86
53.620803,78
53.700217,91
53.773972,84
53.849036,86
53.921905,84
53.994787,83
54.064192,80
54.144479,92
54.219107,85
54.289807,81
54.361367,82
54.437304,87
54.516295,91
54.592231,87
54.665986,84
54.741923,87
54.816974,86
54.892038,86
54.964484,83
55.039098,86
55.105871,76
55.187057,93
55.259926,84
55.334554,85
55.406127,82
55.480742,86
55.553188,83
55.624761,82
55.697643,83
55.774452,88
55.851261,88
55.925440,85
55.998322,84
56.072513,85
56.144509,82
56.213041,79
56.290710,89
56.363593,83
56.434729,82
56.507598,83
56.578299,81
56.652054,85
56.726232,85
56.800000,84
56.871137,82
56.937461,76
57.019070,93
57.091952,83
57.164385,84
57.237267,83
57.311035,85
57.383468,83
57.455914,83
57.527051,81
57.596429,80
57.665384,79
57.743053,89
57.814639,81
57.886213,83
57.958646,83
58.023237,74
58.102665,91
58.175534,83
58.241434,75
58.313444,83
58.380218,77
58.456154,87
58.530782,85
58.604087,84
58.675224,82
58.742857,77
58.820539,89
58.892125,82
58.963249,82
59.035259,82
59.106832,82
59.179265,83
59.251274,83
59.321974,80
59.391789,81
59.467303,86
59.540185,84
59.613054,83
59.682882,80
59.753133,81
59.825579,83
59.897588,82
59.969162,82
60.038989,80
60.110126,82
60.182995,83
60.255005,83
60.322215,77
60.400756,90
60.470584,80
60.543479,83
60.615912,83
60.686613,81
60.760354,84
60.831491,82
60.901755,80
60.972443,82
61.047084,85
61.118220,82
61.187162,79
61.257427,80
61.331182,85
61.404051,83
61.474315,81
61.538457,73
61.615280,88
61.685980,81
61.754486,79
61.824314,80
61.894141,80
61.964392,80
62.033784,80
62.102290,78
62.174749,83
62.244140,79
62.316573,84
62.388146,82
62.457101,78
62.527352,81
62.598925,82
62.667457,79
62.740763,83
62.810154,80
62.882151,83
62.948052,75
63.020061,83
63.090748,81
63.154467,73
63.225617,81
63.296741,82
63.368314,82
63.437256,79
63.511011,84
63.582148,82
63.651527,79
63.721791,81
63.789886,78
63.858392,78
63.927783,80
63.998471,81
64.070480,82
64.140308,80
64.213177,84
64.287818,85
64.357646,80
64.426152,79
64.499470,84
64.574098,85
64.639985,76
64.713304,84
64.780501,77
64.848160,77
64.915806,78
64.989984,85
65.059375,79
65.122222,72
65.192037,80
65.262301,81
65.332116,80
65.395848,73
65.465239,79
65.531999,77
65.605318,84
65.671642,75
65.737979,77
65.806062,78
65.876326,80
65.949208,84
66.018163,79
66.085796,77
66.155188,80
66.224566,79
66.294394,80
66.365531,82
66.434486,78
66.504750,81
66.572832,78
66.636538,73
66.701566,75
66.764400,72
66.831609,77
66.900988,79
66.966465,75
67.038911,83
67.109162,81
67.178554,79
67.248382,80
67.313396,74
67.380606,78
67.454784,85
67.517644,72
67.589653,82
67.655541,76
67.727551,82
67.789948,72
67.852794,72
67.921749,79
67.990255,78
68.061841,82
68.128165,76
68.193629,75
68.261712,78
68.327600,76
68.398736,81
68.459388,70
68.527907,78
68.597748,80
68.664944,77
68.728663,73
68.795424,76
68.863943,79
68.928970,74
68.993986,75
69.064686,81
69.132769,78
69.203905,82
69.270242,76
69.331330,70
69.397667,76
69.464864,77
69.535565,81
69.601029,75
69.665184,73
69.733267,78
69.800464,77
69.865928,75
69.929210,72
69.999025,81
70.061872,72
70.131686,80
70.200218,78
70.263501,73
70.331134,77
70.400962,80
70.469031,78
70.529260,69
70.598215,79
70.664539,76
70.729143,74
70.792849,73
70.861805,79
70.930323,79
70.999702,79
71.064730,75
71.133236,78
71.199573,76
71.270286,81
71.333992,73
71.398584,74
71.470144,82
71.538663,78
71.599314,70
71.669142,80
71.736788,78
71.796580,68
71.867717,81
71.930551,73
71.996451,75
72.066279,80
72.132167,76
72.194140,71
72.259592,75
72.321142,70
72.387479,76
72.458603,81
72.516650,67
72.584719,78
72.652365,77
72.712580,69
72.780226,78
72.849618,80
72.915955,76
72.980110,73
73.049489,80
73.112335,72
73.178236,75
73.243251,75
73.310024,76
73.375039,75
73.443135,78
73.503363,68
73.567505,74
73.629915,72
73.696676,76
73.759958,73
73.824101,73
73.893056,79
73.954170,70
74.020057,76
74.081158,69
74.150973,81
74.209456,67
74.278398,79
74.344735,76
74.404964,69
74.476960,82
74.538510,71
74.606143,77
74.671171,74
74.731836,70
74.797287,75
74.866243,79
74.926021,68
74.995413,80
75.054769,68
75.123724,79
75.182207,67
75.246785,74
75.310068,73
75.375519,74
75.446220,82
75.506435,69
75.572349,75
75.638250,76
75.704574,76
75.762620,66
75.831126,79
75.887863,65
75.955060,77
76.017470,71
76.083371,76
76.147090,73
76.208191,70
76.276260,78
76.333870,66
76.401503,77
76.466095,74
76.524142,67
76.590466,76
76.659434,79
76.718777,68
76.782059,72
76.848820,77
76.914720,75
76.974949,69
77.037782,72
77.103246,75
77.159971,65
77.225448,75
77.286536,70
77.345892,68
77.411356,75
77.469390,67
77.534854,75
77.597251,71
77.655734,67
77.724253,79
77.786663,71
77.845133,67
77.914088,79
77.978243,74
78.034531,64
78.096941,72
78.164138,77
78.221748,66
78.290267,78
78.347441,66
78.417269,80
78.475738,67
78.539458,73
78.602291,72
78.661646,68
78.719680,66
78.783399,73
78.844064,70
78.907783,73
78.965816,66
79.029971,74
79.086709,65
79.151288,74
79.213698,71
79.276967,73
79.338518,70
79.396115,66
79.461143,75
79.524849,73
79.582895,66
79.644433,71
79.711193,76
79.774476,73
79.832509,66
79.894060,71
79.960820,76
80.017121,65
80.080391,72
80.136692,65
80.203029,76
80.261935,67
80.319546,66
80.387615,78
80.448729,70
80.505017,65
80.567863,72
80.632442,74
80.688743,64
80.755504,77
80.813987,67
80.872906,67
80.930503,66
80.999471,79
81.057505,67
81.119042,70
81.182748,73
81.237740,63
81.300137,72
81.363856,73
81.424071,69
81.479936,64
81.542346,71
81.605193,72
81.662367,66
81.719964,66
81.785428,74
81.847825,72
81.905872,67
81.966523,69
82.020206,62
82.080435,69
82.145463,74
82.203496,66
82.260234,66
82.323503,72
82.382859,68
82.442215,68
82.505484,72
82.566149,70
82.628122,71
82.685733,66
82.749439,73
82.809667,69
82.866391,65
82.930983,74
82.985090,62
83.047500,72
83.104660,65
83.163593,68
83.226439,72
83.287527,70
83.346010,67
83.407098,70
83.460781,61
83.521432,69
83.583842,72
83.639694,64
83.699499,68
83.753169,62
83.814270,70
83.872740,67
83.933841,70
83.992747,68
84.056030,72
84.112768,65
84.170801,67
84.227115,64
84.286022,68
84.353231,77
84.407774,62
84.468002,69
84.523418,64
84.587137,73
84.637316,57
84.694490,66
84.757336,71
84.814510,66
84.869926,64
84.931027,70
84.989933,67
85.048416,67
85.104704,65
85.162751,66
85.226020,73
85.282771,65
85.341254,67
85.398851,66
85.457334,67
85.510131,60
85.572541,72
85.623593,58
85.684258,70
85.740982,65
85.796411,63
85.851403,63
85.908577,66
85.965738,65
86.024221,67
86.080946,65
86.143356,72
86.200080,65
86.257690,66
86.307869,57
86.362875,63
86.423090,69
86.482446,68
86.542225,69
86.595908,61
86.657868,71
86.709370,59
86.768276,68
86.826759,67
86.885665,67
86.942852,66
86.992159,56
87.055878,73
87.110420,63
87.169340,67
87.224319,63
87.276693,60
87.336036,68
87.390155,62
87.447329,66
87.498830,58
87.558609,69
87.618401,69
87.674689,64
87.723573,56
87.778988,64
87.834417,63
87.888523,62
87.947442,68
88.001998,62
88.055681,62
88.112842,65
88.171325,67
88.225868,63
88.276933,58
88.336712,69
88.387777,58
88.448865,70
88.499057,58
88.557977,67
88.609914,60
88.664894,63
88.724249,68
88.783155,67
88.834657,59
88.892690,67
88.946810,62
88.996989,57
89.054176,66
89.107846,61
89.163275,64
89.218254,62
89.277609,69
89.325607,55
89.384963,68
89.433397,55
89.474862,48
89.532459,66
89.612336,91
89.712272,115
89.806521,108
89.903839,111
90.005520,117
90.097165,105
90.183150,98
90.282213,114
90.375603,107
90.465053,102
90.563243,113
90.649216,98
90.748292,114
90.844300,110
90.936381,105
91.032377,110
91.122712,104
91.216552,107
91.309070,106
91.404205,109
91.484929,93
91.539921,63
91.597082,65
91.655565,67
91.707489,60
91.764676,65
91.818346,62
91.879884,70
91.930936,59
91.988546,66
92.048338,68
92.094590,53
92.155242,70
92.208052,60
92.261286,61
92.318473,66
92.368216,57
92.429317,70
92.483423,62
92.532307,56
92.588159,64
92.644460,64
92.697257,61
92.752686,63
92.801992,57
92.861797,68
92.912413,58
92.960860,56
93.017148,64
93.077377,69
93.126247,56
93.183421,66
93.240145,65
93.291210,58
93.342262,59
93.398577,64
93.451374,61
93.504185,60
93.559164,63
93.614592,64
93.664335,57
93.722382,66
93.773870,59
93.830158,65
93.877296,54
93.934907,66
93.988590,61
94.034842,53
94.091143,65
94.141759,57
94.197187,64
94.246058,56
94.300614,63
94.352102,59
94.407967,64
94.458159,57
94.511842,62
94.561585,57
94.620068,67
94.665884,52
94.724791,68
94.774983,57
94.824290,57
94.876227,59
94.934261,66
94.986635,61
95.032028,52
95.084838,60
95.134581,57
95.190882,65
95.241934,58
95.289072,54
95.346233,66
95.395104,56
95.445296,57
95.502020,65
95.553971,60
95.607641,61
95.656089,56
95.707141,58
95.763005,64
95.810130,54
95.867741,66
95.913557,52
95.963749,58
96.013492,57
96.068934,64
96.117368,55
96.167547,58
96.214685,54
96.268355,61
96.319420,59
96.366545,54
96.422846,64
96.469971,54
96.518855,56
96.572525,62
96.622281,57
96.677273,63
96.723962,53
96.771100,54
96.821279,58
96.872780,59
96.923832,58
96.975334,59
97.024641,57
97.072215,54
97.126321,62
97.171714,52
97.224524,61
97.270777,53
97.324460,61
97.373330,56
97.423959,58
97.471520,55
97.521713,57
97.568401,54
97.615090,53
97.663537,56
97.719402,64
97.767413,55
97.818028,58
97.860803,49
97.909673,56
97.957671,55
98.009609,59
98.061097,59
98.106490,52
98.154487,55
98.202498,55
98.247891,52
98.302883,63
98.344335,48
98.391024,53
98.440344,57
98.488778,55
98.539843,59
98.588277,55
98.630166,48
98.682976,61
98.723992,47
98.770271,53
98.815650,52
98.861479,52
98.878496,19
98.899441,24
98.953547,62
99.000685,55
